KORAL & PARTNERS ONE SH.P.K.,812033900,Regjistruar,+38345325300,info@koralpartners.com
URBAN GROUP 112 SH.P.K.,812033752,Regjistruar,+38346681681,urbangroup112@gmail.com
LIKA INVEST FER SH.P.K.,812033687,Regjistruar,+38344370716,likaconstrucion@gmail.com
P�rparim B. Kastrati B.I.,812033497,Regjistruar,+38349178398,p�rparimkastrati20@gmail.com
Artan Prushi B.I.,812033372,Regjistruar,+38349656259,artanprushi23@gmail.com
BAXA PARTNERS SH.P.K.,812032762,Regjistruar,+38348209295,baxapartners@gmail.com
Mali Construction SH.P.K.,812032035,Regjistruar,+38349755537,mali.construction@hptmail.com
H M CONSTRUCTION SH.P.K.,812031219,Regjistruar,+38345620603,elektro.ulpiana@gmail.com
PEJA E RE SH.P.K.,812031003,Regjistruar,+38349185589,fisnikkaliqani@gmail.com
B M B Brothers  SH.P.K.,812030948,Regjistruar,+38344820918,betimkrasniqi2023@gmail.com
Leoni Construction Company SH.P.K.,812030170,Regjistruar,+38344809029,leon14shpk@gmail.com
Virton SH.P.K.,812030146,Regjistruar,+38344102301,sabrizymeri@gamil.com
Prestige Builders Group SH.P.K.,812030104,Regjistruar,+38349176752,prestigebuilders.ks@gmail.com
BV HOLDING SH.P.K.,812030039,Regjistruar,+38345548006,bashkimhasani14@gmail.com
Sever Kop D.O.O.,812029876,Regjistruar,+38347125054,sanjja.jozanovic@gmail.com
AR Construction23 SH.P.K.,812029793,Regjistruar,+38349540635,ar.constructionbi@gmail.com
PAC  SH.P.K.,812029610,Regjistruar,+38344493154,arsim.proarch@gmail.com
Prestige Builders SH.P.K.,812028901,Regjistruar,+38349176752,petritspahiu@hotmail.com

PRO DON CONSTRUCTİON L.L.C.,812028703,Regjistruar,+38349191514,prodon.ks@gmail.com
ARAGONIT Homes SH.P.K.,812028539,Regjistruar,+38344198863,aragonithomes@gmail.com
Muharrem A. Musa B.I.,812027747,Regjistruar,+38349348229,rremam119@gmail.com
ABDALLAH MOWAFAQ ABDALLAH RAMADAN B.I.,812027705,Regjistruar,+38349898810,a6remo@gmail.com
Llamarin Punues Loni SH.P.K.,812027672,Regjistruar,+38349326543,llamarinpunuesloni@gmail.com
HAYAT GROUP SH.P.K.,812027581,Regjistruar,+38349378932,rkshayat@gmail.com
Kujtim Be. Berisha B.I.,812027143,Regjistruar,+38343563016,kujtim.b12@icloude.com
PERA GROUP CONSTRUCTION SH.P.K.,812026971,Regjistruar,+38343573055,info@peraconstructiongroup.com
R & L INVESTMENT  SH.P.K.,812026591,Regjistruar,+38344634634,redon.bajrami@hotmail.com
VESELAJ GROUP  SH.P.K.,812026442,Regjistruar,+38349432893,veselajgroupshpk@gmail.com
Liridoni Group SH.P.K.,812026343,Regjistruar,+38349330252,liridon.keqolli@gmail.com
HONA Invest SH.P.K.,812026286,Regjistruar,+38344797797,honainvest2@gmail.com
Andi Jahiu B.I.,812026103,Regjistruar,+38348737171,simplepersonontop@gmail.com
AKSM GROUP SH.P.K.,812025965,Regjistruar,+38349100690,adelinamorina517@hotmail.com
CORE CONSTRUCTION KOSOVO L.L.C.,812025907,Regjistruar,+38345250240,argjirabilalli@outlook.com
AlbioniFix SH.P.K.,812025551,Regjistruar,+38349898800,albionsadiku2005@outlook.com
Mili Invest  SH.P.K.,812024694,Regjistruar,+38345682346,vali.rama2@icloud.com
DRESHAJ GROUP SH.P.K.,812024545,Regjistruar,+38344473343,dreshajgroup@gmail.com
AZ Tehno SH.P.K.,812024446,Regjistruar,+38349648868,kastriotgerguri3@gmail.com
Maya Corp  SH.P.K.,812024412,Regjistruar,+38349811161,sensoygokay@hotmail.com
KOSIF ing L.L.C.,812024264,Regjistruar,+38349841841,abdullah_kosif@hotmail.com
ARCOM INTERNATIONAL SHPK Dega në Kosovë,812024165,Regjistruar,+38349410040,arcomshpk@gmail.com
G & A Invest  SH.P.K.,812023141,Regjistruar,+38348754322,gainvest23@gmail.com
RT & SH Invest SH.P.K.,812023125,Regjistruar,+38344128112,rtshinvestshpk@gmail.com
HALITAJ GROUP SH.P.K.,812022979,Regjistruar,+38343844624,malvesahalitaj285@gmail.com
REXHAJ GROUP SH.P.K.,812022953,Regjistruar,+38344138617,mustafrexhaj03@gmail.com
Niki 999 SH.P.K.,812022870,Regjistruar,+38344365555,sulinoshpk@gmail.com
Rial SH.P.K.,812022838,Regjistruar,+38349325721,rialshpk@gmail.com
Adnan I. Hajdari B.I.,812022424,Regjistruar,+38349215415,albi.a2023@gmail.com
BP Projects Company SH.P.K.,812021963,Regjistruar,+38344765466,bpprojectsshpk@gmail.com
Edon . Gashi B.I.,812021848,Regjistruar,+38345511441,edonkryeziu04@icloud.com
EGZO GROUP L.L.C.,812021682,Regjistruar,+38348603003,egzo-group@hotmail.com
Armend Kovaqi B.I.,812021674,Regjistruar,+38343872705,armend.k@hotmail.com
LONI BAU SH.P.K.,812021567,Regjistruar,+38348111313,info.demaj@gmail.com
EING COM & EL BAU SH.P.K.,812021179,Regjistruar,+38349263052,info@eing-ks.com
Valon Maxharri B.I.,812020999,Regjistruar,+38345252223,valonmaxharri@gmail.com
INGBYRO NDËRTIMI  SH.P.K.,812020981,Regjistruar,+38344143435,ingbyrondertimi@hotmail.com
Besmiri Construction SH.P.K.,812020741,Regjistruar,+38345663436,shpk.besmiri@gmail.com
SHANTIRI BUILDINGS SH.P.K.,812020402,Regjistruar,+38349782782,shantiribuildings@hotmail.com
Vëllezërit  Kajtazaj SH.P.K.,812019984,Regjistruar,+38344282328,sadatuqa@gmail.com
ADRA GROUP CONSTRUCTION SH.P.K.,812017821,Regjistruar,+38344703618,adragroupks@gmail.com
Una Projekt 23 SH.P.K.,812017441,Regjistruar,+38344205974,unaprojekt23@gmail.com
ARTNIS GROUP SH.P.K.,812016774,Regjistruar,+38345668519,artnisshpk2023@gmail.com
ImmoInvest SH.P.K.,812016625,Regjistruar,+38349555111,immoinvestshpk@gmail.com
Arton P. Haxhiu B.I.,812016295,Regjistruar,+38344933203,Arton.haxhiu86@gmail.com
Company Euro Com 2000 L.L.C.,812015940,Regjistruar,+38348152352,eurocomshpk2000@gmail.com
Blerim N. Xhigoli B.I.,812015213,Regjistruar,+38344857581,blerimgjigoli@gmail.com
ZAM Group SH.P.K.,812015057,Regjistruar,+38345191111,Zamgroup23@gmail.com
ROANI BAU SH.P.K.,812014968,Regjistruar,+38344135622,emrushferati66@gmail.com
AB 1 SH.P.K.,812014653,Regjistruar,+38345505612,abshpk1@gmail.com
VËLLEZËRIT QERIQI GROUP SH.P.K.,812014158,Regjistruar,+38345830671,vëllezëritqeriqi@gmail.com
EH  GROUP SH.P.K.,812013481,Regjistruar,+38344501769,ehgroupshpk@gmail.com
EDI INVEST SH.P.K.,812013390,Regjistruar,+38345150500,ediinvest.shpk@gmail.com
NB Bytyqi Construction SH.P.K.,812012722,Regjistruar,+38346257257,luanishpk1@gmail.com
Limi Group SH.P.K.,812012631,Regjistruar,+38345813081,limigroup.rks@gmail.com
Avdullah R. Berisha B.I.,812012441,Regjistruar,+38343807353,Letaberisha28@hotmail.com
IBISHAJ BAU  SH.P.K.,812012243,Regjistruar,+38343845294,arlindvrajolli12@gmail.com
Albaniti Construction SH.P.K.,812012227,Regjistruar,+38349192141,rilindthaci9@gmail.com
ILIRIA GRUP SH.P.K.,812012037,Regjistruar,+38349881199,hoxhaekrem@gmail.com
EMK CONSTRUCTION L.L.C.,812011980,Regjistruar,+38343777232,korkozturk@gmail.com
Elshani Invest SH.P.K.,812011922,Regjistruar,+38343878727,elshaniinvest@gmail.com
